"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Regenerativo 50'","Run","regenerativo","0.833333333333333","","2025-09-09","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","8708.3203125","","",""," *09/09/2025 Felipe da Cruz Rodolpho: Super tranquilo. Frequência e velocidade bem controlados*","0.756330549716949","3.19799995422363","","165","","133","142","","","0.766242318683051","48.84","45","0","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"LIVE: ENTRE TREINOS SAAB SPORTS - DIA 09/09 às 19h30","Other","Neste terça-feira teremos uma live imperdível para todos os atletas Saab Sports. Tema: Os benefícios do treino de força para endurance Colocaremos o link no grupo de avisos","","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"race pace 2k leve/2k intenso","Run","16k sendo 2k aeróbico leve 2k race pace","1.21555555555556","16000","2025-09-10","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","16129.3798828125","","","","","1.21222722530365","3.69600009918213","","169","","147","162","","","0.886935282278017","106.15","21","38","14","0","0","0","0","","","","","","","","","","","","","","5","3"
"","Swim","600-800 aquec. 4x 50 (25 forte 25 leve) com 10seg 4x 100 forte com 30seg 400 pull+palmar (50 forte 150 leve) 400 solto","0.75","","2025-09-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico Leve","Run","Aeróbico Leve Z2","0.683888888888889","8000","2025-09-11","PSE - Percepção Subjetiva de Esforço (de 0 a 10) Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9062.5595703125","","",""," *08/09/2025 SAAB SPORTS: dia de corrida opcional* *11/09/2025 Felipe da Cruz Rodolpho: Nao tinha visto que era opcional, mas foi tranquilo. Bom para recuperar.*","0.756193041801453","3.3289999961853","","168","","133","143","","","0.797775176585857","52.96","45","0","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"limiar 6x 2min/3min","Run","25min Aquecimento em ritmo confortável 6 x 2 minutos em ritmo forte com 3 minutos leve. Complete o treino em ritmo leve.","1.16666666666667","","2025-09-12","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","14612.4404296875","","",""," *12/09/2025 Felipe da Cruz Rodolpho: Consegui fazer no mesmo ritmo do outro dia (12x1km), mas depois do treino fiquei com as pernas cansadas.*","1.16738367080688","3.47699999809265","","167","","144","214","","","0.834492932680049","90.39","45","14","5","5","0","0","2","","","","","","","","","","","","","","7","3"
"Lap Swimming","Swim","1000 aquec. 3x 100 (25 tec. 50nd r3 25nd progressivo) com 10seg 4x 50 (25 maximo 25 solto) com 10seg 6x 50 (2 moderado 1 vo2) com 20seg 6x 100 pull-buoy moderado com 20seg 400-600 solto","1","","2025-09-13","","3750","","","","","0.769061668713887","1.35183850036049","","23","","131","163","","","0.325071460677631","2.64","7","9","8","15","4","1","1","","","","","","","","","","","","","","6","5"
"3x 5min TEMPO","Bike","15min aquecimento progressivo 3x 5min TEMPO com 5min leve completar em endurance leve","1","","2025-09-13","","28615.779296875","111","789","403.999","","1.00472223758698","7.91099977493286","","64","","121","143","","","0.714371350957265","50.96","4","55","1","0","0","","","","","","22","26","6","3","1","2","","","","","",""
"32","Other","","","","2025-09-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 32K. 4:16","Run","Aeróbico leve/ confortável","2.37027777777778","32000","2025-09-14","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","32005.619140625","","",""," *14/09/2025 Felipe da Cruz Rodolpho: Demorou um pouco para ajustar o ritmo, mas depois que encaixou, foi bom :-) Cansei um pouco nos últimos quilômetros, mas deu para manter um ritmo bom na maior parte do tempo.* *15/09/2025 SAAB SPORTS: que corrida linda, Fe!!! bora voar nessa prova!!! 4:16 - FC 157* *16/09/2025 Felipe da Cruz Rodolpho: Se der para manter essa média, vou atingir meu objetivo.*","2.28714036941528","3.88700008392334","","170","","157","164","","","0.938974001457968","228.06","4","14","96","23","0","0","0","","","","","","","","","","","","","","7","1"
"OFF","Day Off","","","","2025-09-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEMANA REGENERATIVA!","Other","","","","2025-09-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","2x 500 aquec. 2x 8000 pull-buoy (400 leve 100 forte) 500 solto","1","","2025-09-15","","3300","","",""," *15/09/2025 SAAB SPORTS: nao estava cansado dos 32 de ontem Fe? veja que coloquei os 34k na sexta.. veja se rola?*","0.747257777849833","1.22358175750834","","23","","135","169","","","0.294409782703139","1.91","4","10","6","12","4","3","6","","","","","","","","","","","","","","7","5"
"20X100","Swim","1000 aquec. 20x 100 (1-2 seg mais forte que race pace) com 20seg 500-1000 solto","1","","2025-09-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAVE THE DATE | TREINO USP – PRÉ IRONMAN 70.3 SP","Other","Prepare-se para suar, se divertir e se inspirar! Todos estão convidados para o treino de corrida / transição na USP no sábado, 20/09, no local onde será palco do IRONMAN 70.3 SP! Horário: 7h Em breve colocaremos informações do local no grupo de avisos. E tem mais: no domingo, durante a prova, a estrutura SAAB estará toda montada, esperando por você para torcer, vibrar e registrar cada momento! Não fique de fora dessa – venha treinar, torcer e viver a emoção do IRONMAN 70.3 com a gente! ✨","","","2025-09-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico Moderado","Run","Aeróbico Moderado - Não force o ritmo","0.697777777777778","9000","2025-09-16","PSE - Percepção Subjetiva de Esforço (de 0 a 10) Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9010.5302734375","","",""," *16/09/2025 Felipe da Cruz Rodolpho: Não treinei bem. As pernas cansadas e não consegui fazer forca. E mesmo assim, a frequência estava alta. ""Escutei meu corpo"" e fui em um ritmo devagar*","0.742869734764099","3.36899995803833","","166","","145","159","","","0.808042908576763","53.35","16","27","2","0","0","0","0","","","","","","","","","","","","","","5","5"
"viagem fim da tarde","Other","","","","2025-09-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico confortável","Run","aeróbico leve/confortável","1","","2025-09-17","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","11397.419921875","","",""," *17/09/2025 Felipe da Cruz Rodolpho: Bem melhor que ontem. Frequência controlada e ritmo tranquilo*","0.918425023555756","3.44700002670288","","164","","138","147","","","0.825708243059558","69.23","54","1","0","0","0","0","0","","","","","","","","","","","","","","3","3"
"","Swim","400-800 aquec. 4x 100 (25 tecnica 75nd moderado) com 15seg 4x 100 (25 máximo 75 leve) com 10seg 1500 pull+palmar moderado 200-600 solto","1","","2025-09-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"viagem off","Other","","","","2025-09-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 34K","Run","Aeróbico leve/ confortável z2/z3","2.63555555555556","34000","2025-09-19","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","7370.9501953125","","","","","0.626042485237122","3.27099990844727","","164","","143","162","","","0.787409778564132","42.5","15","13","9","0","0","0","0","","","","","","","","","","","","","","3","5"
"Strength","Strength","","","","2025-09-19","","0","","","","","0.617036700248718","0","","","","101","138","","","0.652137265805638","28.72","26","4","6","1","0","0","0","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-09-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2025-09-20","","9130","277","324","678.276","","0.680801928043365","3.72499990463257","","160","","129","148","","","1.65764516405859","184.77","37","4","0","0","0","0","0","","","","0","0","0","0","0","40","","","","","3","3"
"Aeróbico confortável","Run","aeróbico leve/confortável","1","","2025-09-21","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9230","298","367","773.839","","0.72154301404953","3.55299997329712","","158","","141","217","","","1.81368112727102","235.11","33","6","0","0","0","0","4","","","","1","0","0","0","0","42","","","","","5","3"
"Aeróbico confortável","Run","aeróbico leve/confortável","1","","2025-09-22","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","5850","284","324","493.514","","0.482006669044495","3.37100005149841","","162","","135","147","","","1.71870483515324","139.84","27","2","0","0","0","0","0","","","","1","0","0","0","0","28","","","","","4","3"
"","Other","Macaquinho Saab Sports Estamos lançando o macaquinho oficial Saab Sports, produzido pela Join! Valor: R$ 880,00, sendo 50% no pedido e 50% na entrega. Prazo de entrega 60 dias. Interessados, me chamem no privado! (15) 99245-0404 Rosana","","","2025-09-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","600 aquec. 4x 75 (25 tec. 50nd r5) com 10seg 12x 100 pull-buoy (2 moderado 1 forte) com 10seg 3x 400 pull+palmar moderado, com 30seg complete em nado leve","1","","2025-09-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-09-23","","9017.7001953125","","","","","0.728071093559265","3.44000005722046","","163","","149","167","","","0.825525847722082","54.53","13","12","10","8","0","0","0","","","","","","","","","","","","","","5","3"
"10x 500m limiar 45seg descanso","Run","3k aquec 1k 100m Z8 - 100m leve 10x 500 limiar com 45seg intervalo parado complete em trote leve","1.04527777777778","12000","2025-09-24","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","11012.7900390625","","",""," *24/09/2025 Felipe da Cruz Rodolpho: Foi cansativo. Nao sei como consegui fazer esse ritmo neste clima* *26/09/2025 SAAB SPORTS: fica tranquilo Fe! estamos com bom ritmo de corrida! ésse treino é apenas para ativar fibras rapidas*","0.955207765102386","3.20300006866455","","152","","150","176","","","0.86135787194429","78.42","20","9","13","9","5","1","0","","","","","","","","","","","","","","8","3"
"8X75 + 15X100","Swim","600 -1000 aquec. 8x 75 (25 forte 50 leve) com 15seg 15x 100 (2 moderado 1 limiar) com 30seg 200-400 solto","1","","2025-09-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEMPO RIDE","Bike","Hoje iremos fazer um treino simples em TEMPO, aqueça durante 15 minutos tentando manter uma cadência acima de 95rpm, após o aquecimento pedale em TEMpo por 35 minutos trabalhando na faixa de 90-95rpm. Gire por 10 minutos em endurance e então complete o treino em giro leve.","1.16666666666667","","2025-09-25","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","0","","","","","0.350726664066315","0","","","","128","146","","","0.664052071098742","16.7","1","11","8","0","0","","","","","","","","","","","","","","","","2","3"
"Strength","Strength","","","","2025-09-25","","0","","","","","0.371256113052368","0","","","","99","136","","","0.617018445958171","15.27","20","2","1","0","0","0","0","","","","","","","","","","","","","","",""
"Regenerativo 40'","Run","regenerativo","0.666666666666667","","2025-09-26","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","7543.830078125","","","","","0.66717916727066","3.14100003242493","","164","","137","148","","","0.753930869950497","41.57","36","4","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"","Swim","1000 aquec. 1x 2000 pull-buoy (400 leve 100 forte) 500 solto","1","","2025-09-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico Moderado + 4k Limiar","Run","Aquecimento: 3k Z3 Série Principal: 4k Z6 Complete em Z2","0.784444444444444","10000","2025-09-27","PSE - Percepção Subjetiva de Esforço (de 0 a 10) Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16k Foco em z4 (Moderado firme)","Run","6km AQ 16km z4 race pace 2km leve","2.03583333333333","26000","2025-09-28","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","25009.66015625","","",""," *28/09/2025 Felipe da Cruz Rodolpho: Foi dificil. O parque tem 2.5km e parava a cada volta para me hidratar. E com isso consegui manter um ritmo relativamente bom e sobreviver ao calor.* *28/09/2025 Felipe da Cruz Rodolpho: Por duas vezes a frequencia marcou totalmente errado e depois ficou ajustada.* *29/09/2025 SAAB SPORTS: nossa Fe. que duro!! mas feliz que tenha conseguido fazer o volume!!!*","1.95798087120056","3.54800009727478","","170","","167","208","","","0.851810300957723","160.05","20","5","9","29","31","8","15","","","","","","","","","","","","","","9","5"
"OFF","Day Off","","","","2025-09-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","600 aquec. 4x 75 (25 tec. 50nd r5) com 10seg 12x 100 pull-buoy (2 moderado 1 forte) com 10seg 3x 400 pull+palmar moderado, com 30seg complete em nado leve","1","","2025-09-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Modelo do macaquinho Saab Sports Join","Other","","","","2025-09-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico confortável","Run","aeróbico leve/confortável","1","","2025-09-30","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9694.7900390625","","","","","0.849116683006287","3.17199993133545","","164","","142","151","","","0.758665730116961","53.92","30","21","0","0","0","0","0","","","","","","","","","","","","","","4","3"
